urn,codice_redazionale,data,titolo,articoli_modificati,n_articoli,tipo
urn:nir:stato:legge.costituzionale:1989-01-16;1,089G0023,1989-01-16,"Modifiche degli articoli 96, 134 e 135 della Costituzione e della legge costituzionale 11 marzo 1953, n. 1, e norme in materia di procedimenti per i reati di cui all'articolo 96 della Costituzione.","96, 134, 135",3,modifica_costituzione
urn:nir:stato:legge.costituzionale:1993-09-23;2,093G0452,1993-09-23,"Modifiche ed integrazioni agli statuti speciali per la Valle d'Aosta, per la Sardegna, per il Friuli-Venezia Giulia e per il Trentino-Alto Adige.",,0,statuto_speciale
urn:nir:stato:legge.costituzionale:1989-04-12;3,089G0155,1989-04-12,"Modifiche ed integrazioni alla legge costituzionale 23 febbraio 1972, n. 1, concernente la durata in carica dell'assemblea regionale siciliana e dei consigli regionali della Sardegna, della Valle d'Aosta, del Trentino-Alto Adige e del Friuli-Venezia Giulia. Modifica allo statuto speciale per la Valle d'Aosta.",,0,statuto_speciale
urn:nir:stato:legge.costituzionale:1953-03-11;1,053C0001,1953-03-11,Norme integrative della Costituzione concernenti la Corte costituzionale.,,0,altra_legge_costituzionale
urn:nir:stato:legge.costituzionale:1948-02-09;1,048C0001,1948-02-09,Norme sui giudizi di legittimita' costituzionale e sulle garanzie d'indipendenza della Corte Costituzionale.,,0,altra_legge_costituzionale
urn:nir:stato:legge.costituzionale:1947-02-21;1,047U0001,1947-02-21,"Proroga del termine di otto mesi previsto dall'art. 4 del decreto legislativo 16 marzo 1946, n. 98, per la durata dell'Assemblea Costituente.",,0,altra_legge_costituzionale
urn:nir:stato:legge.costituzionale:1947-06-17;2,047U0002,1947-06-17,"Proroga del termine previsto dall'art. 4 del decreto legislativo 16 marzo 1946, n. 98, per la durata dell'Assemblea Costituente.",,0,altra_legge_costituzionale
urn:nir:stato:legge.costituzionale:1992-03-06;1,092G0261,1992-03-06,Revisione dell'articolo 79 della Costituzione in materia di concessione di amnistia e indulto.,79,1,modifica_costituzione
urn:nir:stato:legge.costituzionale:1958-03-18;1,058C0001,1958-03-18,"Scadenza del termine di cui alla XI delle \""Disposizioni transitorie e finali\"" della Costituzione.",,0,altra_legge_costituzionale
urn:nir:stato:legge.costituzionale:1947-11-03;3,047C0003,1947-11-03,Soppressione del Senato e determinazione della posizione giuridica dei suoi componenti.,,0,altra_legge_costituzionale
urn:nir:stato:legge.costituzionale:1963-01-31;1,063C0001,1963-01-31,Statuto speciale della Regione Friuli-Venezia Giulia.,,0,statuto_speciale
urn:nir:stato:legge.costituzionale:1948-02-26;5,048C0005,1948-02-26,Statuto speciale per il Trentino-Alto Adige.,,0,statuto_speciale
urn:nir:stato:legge.costituzionale:1948-02-26;3,048C0003,1948-02-26,Statuto speciale per la Sardegna.,,0,statuto_speciale
urn:nir:stato:legge.costituzionale:1948-02-26;4,048C0004,1948-02-26,Statuto speciale per la Valle d'Aosta.,,0,statuto_speciale
